index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,n_samples
24,S5_LC_DOM_FE_W,MLP,test,20.771603273732826,0.3074131924819688,29.433183473216783,0.3963804887910898,0.5892626175854061,0.0171849374258551,3944
25,S5_LC_DOM_FE_W,MLP,train,19.84531791634781,0.6002839911088117,28.767525967435592,0.6333444793024657,0.6495696382597334,0.0213271311121561,38435
26,S5_LC_DOM_FE_W,MLP,val,19.68854561569466,0.5945749969907598,28.257367517808547,0.7483660204439364,0.4399891034850506,0.0386947722083136,4821
27,S5_LC_DOM_FE_W,TabTransformer,test,21.090686872813084,0.3748803776950721,29.982330262057243,0.3816685471311533,0.5705563100816867,0.0133048685567391,3944
28,S5_LC_DOM_FE_W,TabTransformer,train,20.13278235548218,0.2565258285028977,29.02595447467196,0.3631722637685178,0.6365537077413673,0.0078898623494003,38435
29,S5_LC_DOM_FE_W,TabTransformer,val,19.666296703146344,0.2602034609165705,28.286429601020192,0.2792717037169286,0.4306334308583763,0.013677526688406,4821
42,S5_LC_DOM_FE_W,XGBoost,test,19.882291457595976,0.2000130704138868,27.99678919829384,0.2289799937681143,0.6394818504904842,0.0067914018841481,3944
43,S5_LC_DOM_FE_W,XGBoost,train,10.55434820091842,0.0501435715300758,18.792054417233757,0.0629387101018152,0.8755629021926902,0.0009710182758642,38435
44,S5_LC_DOM_FE_W,XGBoost,val,18.172412722720505,0.0971406721200694,25.996363002743603,0.1669727122501449,0.5411704063034689,0.0082518874151821,4821
45,S6_LC_DOM_FE_W_CONS,CatBoost,test,18.005758323766454,0.1595411804939051,25.435482803326035,0.2488329528120586,0.7374218959826347,0.0032188779978184,3290
46,S6_LC_DOM_FE_W_CONS,CatBoost,train,16.944452947077526,0.6564606597879427,25.37436167471556,0.7733217100596824,0.7532779447688459,0.0167880921235138,27802
47,S6_LC_DOM_FE_W_CONS,CatBoost,val,20.054091895409865,0.0841715096955843,28.14768888894741,0.0929441023318538,0.6635733374969788,0.0028127411773386,3575
