scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,3,train,38836,17.300524532385605,25.812005829995908,0.7286008802467486
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,3,val,4831,17.843224508149206,26.23865964978017,0.5320674136756666
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,3,test,3524,19.91040262977612,28.439455218763303,0.6333330237270636
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,3,train,38836,13.26888548661096,21.742376730186397,0.8227442033865163
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,3,val,4831,18.587149045007507,26.657831951156645,0.5300358133452558
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,3,test,3524,20.420405455767412,28.926526592795852,0.6174730577647497
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,3,train,38836,10.527232268324063,18.701936090291035,0.8775185731346257
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,3,val,4831,18.555255122628438,26.4820335544506,0.5346865252335861
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,3,test,3524,20.41771911694502,28.464097667822355,0.6323777311768048
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,1,train,38435,18.769690295315336,27.570980011741113,0.6922431898049857
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,1,val,4821,17.562034184500014,26.17632286520429,0.5176376285265084
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,1,test,3944,18.983132656415943,27.76167987988918,0.6537643899817328
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,1,train,38435,12.266405226974793,20.68803085089666,0.8426206594399906
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,1,val,4821,18.341164671551788,26.32325142703052,0.5333258220125231
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,1,test,3944,19.540979837910854,27.725558272009945,0.64905862117324
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,1,train,38435,10.582491914352058,18.832267599555674,0.8750133297699733
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,1,val,4821,18.240519798579808,26.144957034863598,0.5337117129019325
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,1,test,3944,19.652848019362363,27.734201877534808,0.6472427078992096
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,2,train,38435,19.516511296140624,28.47058708106456,0.6726810260879049
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,2,val,4821,17.72901909842034,26.276107053919333,0.5103916606912332
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,2,test,3944,19.446596966885846,28.281680609846806,0.6429973947176321
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,2,train,38435,12.261482734373518,20.716296993244825,0.8421200603092556
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,2,val,4821,18.34118550062385,26.357502202890615,0.532541879038757
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,2,test,3944,19.6819869761169,27.93609805439112,0.6422674942357457
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,2,train,38435,10.496454816256815,18.719522105239044,0.8766840654513532
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,2,val,4821,18.21554324948921,26.028460285637593,0.5397646224830868
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,2,test,3944,19.97416564238096,28.10129178220206,0.6365760800662819
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,3,train,38435,17.234150300340094,25.666200879176003,0.7362682506307573
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,3,val,4821,17.38709634361722,25.78186302504151,0.542496054603569
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,CatBoost,3,test,3944,18.882660512763046,27.27895921642001,0.6613090086276232
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,3,train,38435,12.35004607630828,20.77318649555811,0.8411762145360983
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,3,val,4821,18.370251141929945,26.238780854312676,0.5357977825922285
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,LightGBM,3,test,3944,19.54322953656809,27.88629539314989,0.6441843466674271
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,3,train,38435,10.58409787214639,18.824373546906546,0.874991311356744
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,3,val,4821,18.061175120092496,25.815671687729612,0.5500348835253873
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,XGBoost,3,test,3944,20.019860711044604,28.15487393514465,0.6346267635059611
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,1,train,27802,17.518194853179033,26.056724500168368,0.7383610298900144
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,1,val,3575,20.128886069933003,28.25167396820036,0.6603349036855015
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,1,test,3290,18.09509939869453,25.63672016920385,0.7390861918258099
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,1,train,27802,11.916001440466093,20.4636993448118,0.8525964705985649
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,1,val,3575,20.50259212896986,28.596249285807566,0.64429385721932
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,1,test,3290,18.43101573270832,25.92678945397083,0.7121909565116391
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,1,train,27802,9.935686143177788,18.227999446996158,0.8885064923012651
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,1,val,3575,20.737718893973167,28.579659981289105,0.6420400165790031
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,1,test,3290,18.37990735600637,25.920313685362775,0.7161122455644476
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,2,train,27802,16.22856478372341,24.534369478144544,0.7714580753529187
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,2,val,3575,19.962943374330344,28.07269779223918,0.6654068503830965
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,2,test,3290,17.82156353206176,25.157253646776795,0.7394679011276216
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,2,train,27802,11.840839992396223,20.385314758344734,0.8537564064631405
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,2,val,3575,20.40467502504185,28.550602443548293,0.6464505526885864
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,2,test,3290,18.715157152797698,26.153735184054135,0.7076421766602461
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,2,train,27802,10.004221095307749,18.366217868838266,0.8864486998988007
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,2,val,3575,20.766037375785114,28.68438818695579,0.639150527977684
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,2,test,3290,18.450484038953082,25.94106302578787,0.7162459152709034
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,3,train,27802,17.086599204330135,25.531991045833774,0.7500147290636044
